주소,목적지
서울특별시 서대문구 신촌동,8067
서울특별시 노원구 상계6.7동,8011
서울특별시 노원구 하계1동,7357
서울특별시 은평구 역촌동,4631
서울특별시 마포구 성산제2동,4550
서울특별시 종로구 이화동,4114
서울특별시 영등포구 여의동,3848
서울특별시 동작구 신대방제2동,3733
서울특별시 마포구 상암동,3716
서울특별시 서대문구 연희동,3706
서울특별시 중랑구 신내1동,3476
서울특별시 은평구 구산동,3323
서울특별시 강서구 등촌제3동,3273
서울특별시 노원구 중계2.3동,3101
서울특별시 강서구 방화제1동,3086
서울특별시 도봉구 도봉제2동,2924
서울특별시 강동구 강일동,2909
서울특별시 강서구 가양제2동,2816
서울특별시 노원구 상계1동,2633
서울특별시 송파구 풍납2동,2589
서울특별시 강동구 상일동,2558
서울특별시 강서구 발산제1동,2547
서울특별시 강남구 세곡동,2502
서울특별시 노원구 월계2동,2440
서울특별시 강남구 수서동,2427
서울특별시 강동구 둔촌제2동,2409
서울특별시 강서구 방화제2동,2390
서울특별시 은평구 진관동,2378
서울특별시 영등포구 영등포동,2366
서울특별시 양천구 신정3동,2336
서울특별시 광진구 구의제2동,2331
서울특별시 강서구 가양제1동,2313
서울특별시 노원구 월계3동,2274
서울특별시 노원구 상계2동,2243
서울특별시 강북구 번제3동,2183
서울특별시 강동구 길동,2170
서울특별시 성동구 왕십리도선동,2144
서울특별시 종로구 종로1.2.3.4가동,2106
서울특별시 동대문구 휘경제2동,2090
서울특별시 강북구 번제2동,2015
서울특별시 관악구 보라매동,1966
서울특별시 구로구 오류제2동,1964
서울특별시 영등포구 대림제3동,1873
서울특별시 구로구 구로제5동,1870
서울특별시 노원구 공릉1.3동,1787
서울특별시 노원구 중계4동,1775
서울특별시 구로구 구로제2동,1684
서울특별시 송파구 장지동,1679
서울특별시 강북구 인수동,1676
서울특별시 은평구 녹번동,1622
서울특별시 강서구 공항동,1611
서울특별시 성북구 길음제1동,1596
서울특별시 중랑구 신내2동,1541
서울특별시 노원구 공릉2동,1509
서울특별시 광진구 화양동,1508
서울특별시 마포구 대흥동,1500
서울특별시 강서구 방화제3동,1497
서울특별시 성동구 마장동,1489
서울특별시 강북구 삼각산동,1484
서울특별시 서대문구 홍은제2동,1480
서울특별시 강서구 우장산동,1479
서울특별시 서초구 서초1동,1475
서울특별시 중랑구 묵제1동,1474
서울특별시 도봉구 방학제1동,1469
서울특별시 종로구 청운효자동,1448
서울특별시 중랑구 망우본동,1443
서울특별시 강서구 가양제3동,1408
서울특별시 강동구 천호제2동,1396
서울특별시 중랑구 면목제3.8동,1392
서울특별시 송파구 오금동,1391
서울특별시 도봉구 창제4동,1375
서울특별시 양천구 목1동,1346
서울특별시 서초구 반포4동,1332
서울특별시 마포구 성산제1동,1330
서울특별시 은평구 증산동,1320
서울특별시 강남구 일원본동,1302
서울특별시 광진구 구의제3동,1295
서울특별시 동대문구 신설동,1291
서울특별시 서대문구 북가좌제2동,1266
서울특별시 동대문구 회기동,1262
서울특별시 금천구 독산제1동,1262
서울특별시 마포구 망원제1동,1253
서울특별시 도봉구 쌍문제3동,1240
서울특별시 강남구 일원1동,1240
서울특별시 동대문구 장안제1동,1237
서울특별시 서대문구 남가좌제2동,1231
서울특별시 서초구 내곡동,1211
서울특별시 서초구 양재1동,1198
서울특별시 양천구 목5동,1196
서울특별시 중랑구 상봉제1동,1183
서울특별시 중구 명동,1181
서울특별시 성북구 삼선동,1166
서울특별시 노원구 중계1동,1161
서울특별시 강동구 천호제1동,1149
서울특별시 강남구 도곡1동,1145
서울특별시 송파구 가락본동,1144
서울특별시 강서구 화곡제6동,1144
서울특별시 은평구 응암제2동,1124
서울특별시 금천구 시흥제1동,1113
서울특별시 강남구 일원2동,1112
서울특별시 동작구 흑석동,1069
서울특별시 중랑구 상봉제2동,1057
서울특별시 중구 회현동,1054
서울특별시 강북구 송중동,1046
서울특별시 성북구 안암동,1038
서울특별시 동작구 상도제1동,1038
서울특별시 마포구 서교동,1031
서울특별시 종로구 교남동,1030
서울특별시 용산구 한강로동,1029
서울특별시 강남구 역삼1동,1020
서울특별시 강동구 천호제3동,1017
서울특별시 성북구 석관동,1013
서울특별시 영등포구 대림제1동,1012
서울특별시 강동구 명일제1동,1004
서울특별시 양천구 신정7동,1003
서울특별시 성북구 월곡제2동,1001
