주소,출발지
서울특별시 노원구 하계1동,8463
서울특별시 노원구 상계6.7동,7658
서울특별시 서대문구 신촌동,7440
서울특별시 마포구 성산제2동,5968
서울특별시 은평구 역촌동,4674
서울특별시 서대문구 연희동,4318
서울특별시 종로구 이화동,3674
서울특별시 마포구 상암동,3614
서울특별시 강서구 등촌제3동,3562
서울특별시 노원구 중계2.3동,3406
서울특별시 동작구 신대방제2동,3404
서울특별시 중랑구 신내1동,3179
서울특별시 영등포구 여의동,3143
서울특별시 강동구 강일동,3094
서울특별시 도봉구 도봉제2동,3092
서울특별시 강서구 가양제2동,3033
서울특별시 은평구 구산동,2988
서울특별시 노원구 상계1동,2928
서울특별시 강서구 방화제1동,2919
서울특별시 강남구 수서동,2750
서울특별시 노원구 월계2동,2745
서울특별시 강동구 상일동,2681
서울특별시 은평구 진관동,2634
서울특별시 강남구 세곡동,2633
서울특별시 강서구 발산제1동,2580
서울특별시 송파구 풍납2동,2469
서울특별시 노원구 월계3동,2447
서울특별시 양천구 신정3동,2393
서울특별시 강북구 번제3동,2384
서울특별시 강서구 방화제2동,2310
서울특별시 강동구 둔촌제2동,2291
서울특별시 종로구 종로1.2.3.4가동,2244
서울특별시 영등포구 영등포동,2163
서울특별시 동대문구 휘경제2동,2135
서울특별시 관악구 보라매동,2095
서울특별시 구로구 오류제2동,2087
서울특별시 강서구 가양제1동,2073
서울특별시 광진구 구의제2동,2073
서울특별시 강동구 길동,2051
서울특별시 송파구 장지동,2013
서울특별시 강북구 번제2동,2000
서울특별시 성동구 왕십리도선동,1930
서울특별시 영등포구 대림제3동,1888
서울특별시 구로구 구로제5동,1865
서울특별시 노원구 상계2동,1832
서울특별시 강서구 방화제3동,1746
서울특별시 노원구 중계4동,1725
서울특별시 서대문구 홍은제2동,1725
서울특별시 성북구 길음제1동,1721
서울특별시 노원구 공릉1.3동,1715
서울특별시 구로구 구로제2동,1693
서울특별시 중랑구 망우본동,1623
서울특별시 중랑구 신내2동,1603
서울특별시 강북구 인수동,1602
서울특별시 강서구 공항동,1596
서울특별시 마포구 대흥동,1589
서울특별시 강동구 천호제2동,1572
서울특별시 강서구 가양제3동,1547
서울특별시 은평구 녹번동,1519
서울특별시 서초구 서초1동,1486
서울특별시 노원구 공릉2동,1476
서울특별시 도봉구 창제4동,1441
서울특별시 강남구 일원본동,1426
서울특별시 강북구 삼각산동,1426
서울특별시 강서구 우장산동,1424
서울특별시 서대문구 남가좌제2동,1416
서울특별시 금천구 독산제1동,1407
서울특별시 서초구 양재1동,1381
서울특별시 송파구 오금동,1377
